name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
360,0,0,0,0%,0%,0%,0%,0%,0%,1
MP,0,0,0,0%,0%,0%,0%,0%,0%,2
申抖音2,0,0,0,0%,0%,0%,0%,0%,0%,3
头条,0,0,0,0%,0%,0%,0%,0%,0%,4
百度推广,0,0,0,0%,0%,0%,0%,0%,0%,5
东方说股-视频号信息流,0,0,0,0%,0%,0%,0%,0%,0%,6
老转,0,0,0,0%,0%,0%,0%,0%,0%,7
MP-付费,0,0,0,0%,0%,0%,0%,0%,0%,8
AI智能,0,0,0,0%,0%,0%,0%,0%,0%,9
百度付费,0,0,0,0%,0%,0%,0%,0%,0%,10
TSL-东方说股-气泡,0,0,0,0%,0%,0%,0%,0%,0%,11
TSL-东方说股-短视频,1,1,1,10%,7.69%,2.33%,0%,7.69%,0%,12
ZSY-A谷赢家,0,0,0,0%,0%,0%,0%,0%,0%,13
ZSY-沈谋研虑,0,0,0,0%,0%,0%,0%,0%,0%,14
ZSY-股期良策,0,0,0,0%,0%,0%,0%,0%,0%,15
ZSY-策略A加B,0,0,0,0%,0%,0%,0%,0%,0%,16
ZSL-股市研选,0,0,0,0%,0%,0%,0%,0%,0%,17
TSL-股市情报局,0,0,0,0%,0%,0%,0%,0%,0%,18
TSL-股市情报局-气泡,0,0,0,0%,0%,0%,0%,0%,0%,19
ZSL-股市研选-气泡,0,0,0,0%,0%,0%,0%,0%,0%,20
ZSY-策略A加B-气泡,0,0,0,0%,0%,0%,0%,0%,0%,21
ZSL-财神赵哥,0,0,0,0%,0%,0%,0%,0%,0%,22
ZSY-股期良策-气泡,0,0,0,0%,0%,0%,0%,0%,0%,23
ZSY-老沈擒牛,0,0,0,0%,0%,0%,0%,0%,0%,24
ZSY-小雨爱投资,0,0,0,0%,0%,0%,0%,0%,0%,26
M-趋势谷道,0,0,0,0%,0%,0%,0%,0%,0%,28
M-股道论财,0,0,0,0%,0%,0%,0%,0%,0%,29
M-涨上封,0,0,0,0%,0%,0%,0%,0%,0%,30
M-均线王者,0,0,0,0%,0%,0%,0%,0%,0%,31
