name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
亚商,8832,,,5.26%,,,2.56%,,,10018
投教一部,852,,,5.53%,,,2.21%,,,10036
学思,1,,,9.09%,,,9.09%,,,10055
中止合作,0,,,0%,,,0%,,,10091
投教二部,126,,,6%,,,2.14%,,,10111
巨靠谱,0,,,0%,,,0%,,,10128
巨靠谱-视短视频,0,,,0%,,,0%,,,717
巨靠谱-视短视频1,0,,,0%,,,0%,,,718
投教二部视频号,119,,,6.21%,,,1.98%,,,10112
投教二部抖音,4,,,12.12%,,,3.03%,,,10116
投教二部-短视频,3,,,1.97%,,,3.95%,,,10127
投教二部-视频号短,3,,,1.97%,,,3.95%,,,700
投教二部-博弈圣手-付费,0,,,0%,,,0%,,,482
投教二部-博弈圣手-免费,0,,,0%,,,0%,,,483
sk24A股跟屁虫--李明星,0,,,0%,,,0%,,,653
sk23-微观洞悉--王洪涛,2,,,10.53%,,,0%,,,654
sk25-A股首板王,2,,,16.67%,,,8.33%,,,659
投教二部-涅槃财经-付费,0,,,0%,,,0%,,,716
投教二部-博弈圣手,0,,,0%,,,0%,,,457
投教二部-A股首板王,61,,,6.3%,,,2.27%,,,497
投教二部-博弈圣手-h5,0,,,0%,,,0%,,,518
投教二部-A股首板王-h5,8,,,5.44%,,,2.72%,,,521
投教二部-慧眼光芒h5,0,,,0%,,,0%,,,561
投教二部-慧眼光芒,0,,,0%,,,0%,,,571
投教二部-股市侃道,44,,,6.3%,,,1.72%,,,683
投教二部-策略先锋,6,,,8.11%,,,0%,,,692
投教二部-股市侃道h5,0,,,0%,,,0%,,,695
投教二部-策略先锋h5,0,,,0%,,,0%,,,696
冠汉,0,,,0%,,,0%,,,10040
有点,0,,,0%,,,0%,,,10044
重庆有术,0,,,0%,,,0%,,,10045
天天启号,0,,,0%,,,0%,,,10046
弘润达,0,,,0%,,,0%,,,10047
兰君子,0,,,0%,,,0%,,,10050
抖涨,0,,,0%,,,0%,,,10052
豪斯莱,0,,,0%,,,0%,,,10053
路雅,0,,,0%,,,0%,,,10054
上海创银信禾,0,,,0%,,,0%,,,10057
安徽诗墨,0,,,0%,,,0%,,,10071
柒柒亚,0,,,0%,,,0%,,,10079
博融,0,,,0%,,,0%,,,10081
1995,0,,,0%,,,0%,,,10082
骋翼,0,,,0%,,,0%,,,10085
天创,0,,,0%,,,0%,,,10092
京贝,0,,,0%,,,0%,,,10097
云量传媒0,0,,,0%,,,0%,,,10103
快手,0,,,0%,,,0%,,,10104
云量传媒,0,,,0%,,,0%,,,427
云量传媒1,0,,,0%,,,0%,,,428
云量传媒2,0,,,0%,,,0%,,,429
京贝-快手黄车,0,,,0%,,,0%,,,402
京贝-快手黄车公众号,0,,,0%,,,0%,,,410
京贝-快手黄车公众号1,0,,,0%,,,0%,,,417
视频号,0,,,0%,,,0%,,,10093
天创-炜哥撩股票,0,,,0%,,,0%,,,344
骋翼1,0,,,0%,,,0%,,,328
骋翼2,0,,,0%,,,0%,,,329
骋翼3,0,,,0%,,,0%,,,330
骋翼4,0,,,0%,,,0%,,,331
骋翼5,0,,,0%,,,0%,,,332
1995-缠论说股-注销,0,,,0%,,,0%,,,315
1995-趋势之光,0,,,0%,,,0%,,,317
1995-股道神牛-注销,0,,,0%,,,0%,,,324
1995-慧眼光芒,0,,,0%,,,0%,,,335
1995-股海神牛-注销,0,,,0%,,,0%,,,346
1995-股道真经弃,0,,,0%,,,0%,,,350
1995-A股首板王,0,,,0%,,,0%,,,364
1995-股市大队长,0,,,0%,,,0%,,,373
1995-多头司令,0,,,0%,,,0%,,,442
1995-江城小鳄鱼,0,,,0%,,,0%,,,448
博融1,0,,,0%,,,0%,,,309
博融2,0,,,0%,,,0%,,,310
博融3,0,,,0%,,,0%,,,311
博融4,0,,,0%,,,0%,,,312
博融5,0,,,0%,,,0%,,,313
柒柒亚,0,,,0%,,,0%,,,300
诗墨-苹果树财经,0,,,0%,,,0%,,,275
诗墨-老潘5178A股,0,,,0%,,,0%,,,276
诗墨-你们的茉茉姐,0,,,0%,,,0%,,,282
诗墨-总舵主猴哥88888,0,,,0%,,,0%,,,283
上海创银,0,,,0%,,,0%,,,214
信禾抖音短视频,0,,,0%,,,0%,,,292
信禾抖音短视频1,0,,,0%,,,0%,,,295
信禾抖音短视频2,0,,,0%,,,0%,,,296
信禾抖音短视频3,0,,,0%,,,0%,,,297
信禾抖音短视频4,0,,,0%,,,0%,,,298
创银短信,0,,,0%,,,0%,,,407
路雅交易,0,,,0%,,,0%,,,92
支付宝,0,,,0%,,,0%,,,98
抖涨抖音1,0,,,0%,,,0%,,,111
抖涨抖音2,0,,,0%,,,0%,,,112
兰君子视频号,0,,,0%,,,0%,,,10051
兰君子抖音直播,0,,,0%,,,0%,,,10062
兰君子-打板刺客,0,,,0%,,,0%,,,252
兰君子-财经好声音,0,,,0%,,,0%,,,253
兰君子-胡哥说大A,0,,,0%,,,0%,,,305
兰君子-擒牛跟庄,0,,,0%,,,0%,,,476
兰君子视频号暂停渠道,0,,,0%,,,0%,,,10107
兰君子-股今杂谈LV,0,,,0%,,,0%,,,187
兰君子-金股训练营LV,0,,,0%,,,0%,,,188
兰君子-股市破局者LV,0,,,0%,,,0%,,,229
兰君子-股市侃道,0,,,0%,,,0%,,,351
兰君子-聊股吧,0,,,0%,,,0%,,,356
兰君子-A股首板王,0,,,0%,,,0%,,,420
兰君子-程程论市,0,,,0%,,,0%,,,149
兰君子-陈佬论市,0,,,0%,,,0%,,,150
兰君子-短线抓板,0,,,0%,,,0%,,,157
兰君子-超短作手,0,,,0%,,,0%,,,181
兰君子-底部擒牛,0,,,0%,,,0%,,,182
兰君子-A股教父,0,,,0%,,,0%,,,183
兰君子-邱浩财经,0,,,0%,,,0%,,,217
兰君子-老马擒牛,0,,,0%,,,0%,,,218
兰君子-狙击龙虎榜,0,,,0%,,,0%,,,219
兰君子-大A问财,0,,,0%,,,0%,,,220
兰君子-打板司令,0,,,0%,,,0%,,,221
兰君子-首板跟庄666,0,,,0%,,,0%,,,222
兰君子-刘哥打板,0,,,0%,,,0%,,,223
兰君子-大A先锋团,0,,,0%,,,0%,,,224
兰君子-超短挖掘,0,,,0%,,,0%,,,225
兰君子-投机乔帮主,0,,,0%,,,0%,,,226
兰君子-投机战神,0,,,0%,,,0%,,,227
兰君子-上塘路心法,0,,,0%,,,0%,,,228
兰君子-朱朱说市,0,,,0%,,,0%,,,230
兰君子-论市道股,0,,,0%,,,0%,,,231
兰君子-股海点金石,0,,,0%,,,0%,,,243
兰君子-抓板训练营,0,,,0%,,,0%,,,244
兰君子-短线选股,0,,,0%,,,0%,,,245
兰君子-短线大A,0,,,0%,,,0%,,,246
兰君子-华宇九九,0,,,0%,,,0%,,,247
兰君子-A股小白龙LV,0,,,0%,,,0%,,,262
兰君子-主力狙击,0,,,0%,,,0%,,,273
兰君子-大A小杨哥,0,,,0%,,,0%,,,279
兰君子-大a鼓掌,0,,,0%,,,0%,,,280
快手,0,,,0%,,,0%,,,10048
视频号,0,,,0%,,,0%,,,10049
深圳-逍遥财经,0,,,0%,,,0%,,,148
深圳快手,0,,,0%,,,0%,,,82
天天启号快手,0,,,0%,,,0%,,,103
天天启号抖音,0,,,0%,,,0%,,,104
重庆有术短线擒牛抓板,0,,,0%,,,0%,,,114
重庆有术短线股三疯,0,,,0%,,,0%,,,141
重庆有术擒牛绝世南风,0,,,0%,,,0%,,,147
重庆有术-华尔街女团,0,,,0%,,,0%,,,151
重庆有术-短线K姐,0,,,0%,,,0%,,,154
重庆有术-炒股奔小康,0,,,0%,,,0%,,,155
重庆有术-大A神话,0,,,0%,,,0%,,,156
有点视频号,0,,,0%,,,0%,,,10058
有点抖音推广,0,,,0%,,,0%,,,10060
有点快手,0,,,0%,,,0%,,,10061
有点快手,0,,,0%,,,0%,,,137
有点抖音,0,,,0%,,,0%,,,91
有点测试资源,0,,,0%,,,0%,,,198
