conversation_id,user_id,costumer_id,order_id,msg_id,table_name,external_userid,userid,content,event,event_score,event_level,reason,indexs,eventType
943863bbadcd3166bce28e1982497641,20257071702341133,wm84u4EAAABdYu_Q1--YotTxDW_HZkBg,20250919224432481219,18309830611059776897_1758292689149_external,wwc6a28c1b56e3a884_single_202509,wm84u4EAAABdYu_Q1--YotTxDW_HZkBg,20257071702341133,你看一下这样的服务可以吗？我相信对别人有用，对你来说肯定也不会差的。,对标客户收益,5,黄线,员工明确表示客户加入后可以像其他客户一样赚钱。原文中提到“我相信对别人有用，对你来说肯定也不会差的。”这与规则中的描述高度一致。,"13,34",确定违规项
5222d118e56ea8fe1c21c038b58f92db,2025616947002143,wmGo3oHAAAupX95c8KvzkKCxD25fSmdg,20250919223711086273,14617017685211186615_1758162378460_external,ww4d1e2b07609fb8b5_single_202509,wmGo3oHAAAupX95c8KvzkKCxD25fSmdg,2025616947002143,姐姐怎么没有机会？早上的时候有一个小波拉灯，后面又要回调，回调之后然后再次慢慢的稳步上涨，到最后涨停给到一个充足的时间。你像这样机会如果还把握不好，那就果断跟上咱们内部操作就行了。刚好咱们现在有活动，原价2900 88年的，现在只需要198元，服务咱们整整15个月。今天办理还多送咱们15天的服务期。您看有没有在您家是吧？,直接承诺收益,10,红线,员工明确向客户做出具体收益保证，例如“今天办理还多送咱们15天的服务期”。这符合直接承诺收益的违规描述。,"133,149",确定违规项
f950ce2043dc78d46ea62487314a8121,202447110355122,wm84u4EAAAeKAWEeNVPfIpM5SPoRGU8g,20250919233314772388,6610006117094554906_1716955825368_external,wwc6a28c1b56e3a884_single_202405,wm84u4EAAAeKAWEeNVPfIpM5SPoRGU8g,202447110355122,快看?涨超20%的票还帮不到您吗？                                                                                                                   .?红雨把最近2期股池周中王好票内部调入记录+学员反馈分享给您了，您去复复盘，机会真的就在眼前[红包]5.15日股池周中王【#300139 晓程科技】13.76-14买入，最高价17.34，3个交易日涨超20%[红包]5.22日股池周中王【#300286 安科瑞】23.15-23.7，最高价28.5，5个交易日涨超20%----------------------------[發]内部学员李哥：周三当天办理服务，买入【晓程科技】3天报喜盈利1.36万元[發]内部学员张哥：买入【安科瑞】报喜盈利2179元[發]内部学员谢哥：买入【安科瑞】报喜盈利1863元[發]内部学员沈哥：买入【安科瑞】400股盈利550元?看到了吗？不是没有机会，是有机会了您能不能提前把握，这么多学员跟上股池周中王好票都在赚钱报喜，有什么理由您跟不上呢？[抱拳]内部股池【周中王好票】正在调入中，568值不值您看看上面学员持仓就知道了，信红雨的，不会让您失望的，办一个？[玫瑰]好的，信你一次，568办一个跟上，回复【8】[福]568/1年对公办理链接：https://abctougu.cn/162943 （办好买票）,突出本金与收益的对比,5,黄线,消息中明确使用了时间+客户收益的表述方式，例如“买入【安科瑞】报喜盈利2179元”，这符合突出本金与收益对比的违规描述。,"370,386",确定违规项
f950ce2043dc78d46ea62487314a8121,202447110355122,wm84u4EAAAeKAWEeNVPfIpM5SPoRGU8g,20250919233314772388,3216002723574775394_1716989783219_external,wwc6a28c1b56e3a884_single_202405,wm84u4EAAAeKAWEeNVPfIpM5SPoRGU8g,202447110355122,一票赚3.1万，先别拒绝?值不值得您合作看了再决定！！！                                  .[玫瑰]【学员黄姐】：跟上报喜 #一票赚1780元；[玫瑰]【学员郑姐】：跟上报喜 #一票赚31000元；[玫瑰]【学员李哥】：#做3只票赚3只，感觉很踏实；反馈不代表其他学员?我知道您担心合作后不赚钱，但是您看看上面的【黄姐 郑姐  李哥】第一只票都赚钱了，而且赚回的都远超568的价值了，他们仅仅都只是花了568而已，#换来这么好的收益、您还担心什么呢？ 相信永远比怀疑多一次机会，568/1年优惠明天最后【1】天了，信红雨一次，合作一期试试，不会让您失望的[庆祝]回复【5】 内部都有什么服务？[庆祝]回复【8】好！试试吧，568怎么办理？[福]568/1年对公办理链接：https://abctougu.cn/162943  （?现在办理好，明天买票）,突出本金与收益的对比,5,黄线,消息中明确使用了时间+客户收益的表述方式，例如“一票赚3.1万”，这符合突出本金与收益对比的违规描述。,"0,7",确定违规项
f950ce2043dc78d46ea62487314a8121,202447110355122,wm84u4EAAAeKAWEeNVPfIpM5SPoRGU8g,20250919233314772388,10347688894873974861_1716991688312_external,wwc6a28c1b56e3a884_single_202405,wm84u4EAAAeKAWEeNVPfIpM5SPoRGU8g,202447110355122,10天4次报喜#收获近7000?这样的实力您还满意吗？                                                                                    .?王哥：5.19号办理服务、合作至今跟上股池好票连续4次报喜：[红包]第一次报喜：#【山东出版】赚2247元，止盈离场！[红包]第二次报喜：【福能股份】赚1318元；三变科技亏482元[红包]第三次报喜：#【福能股份】赚2478元，止盈离场；三变科技 赚237元[红包]昨天第四次报喜：#【三变科技】赚2037元，止盈离场[發]2247+2478+2037=6762元；王哥办理的就是568同款服务，这样的收获值不值？（客户反馈不代表全部）================[爱心]王哥说：要不是我们，这段时间如果自己乱买，又不知道被套多少，这两周大盘逆势，他买的三支票赚了近7000块钱！[拳头]选择大于努力，如果您自己操作在股市来回做电梯，不如信我们一次，【王哥】已经用真金白银替您验证了，您就不要为一个568犹犹豫豫了好吗？现在办理，明天股池【核心龙头】金股马上带您直接跟上，争取也想王哥一样来报喜好吗？[玫瑰]回复【6】再介绍下服务[玫瑰]回复【8】好吧，信你一次，568办一个[炸弹]568/一年最后【2】天，对公办理通道：https://abctougu.cn/162943（今晚办理好，明天股池金股抢先安排跟）,突出本金与收益的对比,5,黄线,消息中明确使用了时间+客户收益的表述方式，例如“第一次报喜：#【山东出版】赚2247元”，这符合突出本金与收益对比的违规描述。,"147,166",确定违规项
4277ca1f877efdb657de4fdb4d702294,2024721713261123,wm84u4EAAA9f1x3prDdyL614WvvtBx8g,20250919225104255507,14530103741780160283_1752196060199_external,wwc6a28c1b56e3a884_single_202507,wm84u4EAAA9f1x3prDdyL614WvvtBx8g,2024721713261123,[红包]7.11日免费早参票请查收[玫瑰]誉衡药业 002437[玫瑰]良品铺子 603719（今日停牌，暂不关注）[玫瑰]兴业科技 002674[玫瑰]中科金财 002657[玫瑰]协鑫集成 002506 [爱心]温馨提示：免费服务、早参票个股一次多只，没有买卖指导，需自己筛选把握=====?二、收费服务：?今日内部【跨周压轴金股】重磅调入，#紧跟机构资金低吸进场、潜伏政策牛，你看上面近3期的跨周金股，都是低吸后快速大涨的短线龙头，今天这只更加重磅，跟上试试？❌官网指导价：2980元/6个月⭕掘金中报特惠价：680元/12个月（截至今晚12点，马上涨价）?回复【6】内部具体有什么服务?回复【8】申请680元/12个月优惠跟上内部操作,突出时间与收益的对比,5,黄线,员工在描述客户案例时，明确使用了时间+客户收益的表述方式，例如“7天6涨停”、“大赚5.7万元”。这符合规则中的违规情形。,"-1,-1",确定违规项
4277ca1f877efdb657de4fdb4d702294,2024721713261123,wm84u4EAAA9f1x3prDdyL614WvvtBx8g,20250919225104255507,1669486886930403357_1752200050378_external,wwc6a28c1b56e3a884_single_202507,wm84u4EAAA9f1x3prDdyL614WvvtBx8g,2024721713261123,❤第二种：合作收费服务（微信通知）[福]以上方内部付费好票【#长城军工.】为例，低吸后，7天6涨停！? 学员低吸价：13.2附近? 当前最高价：31.96[發]学员语姐：跟上内部操作报喜，#大赚5.7万元！=====[拥抱]简单讲，合作服务就是，每天投研团队精选出强势好票，微信推送票，通知您什么价格区间买，什么价格区间卖，都是强势短线票！ 您微信收到票后挂单操作即可！,突出时间与收益的对比,5,黄线,员工在描述客户案例时，明确使用了时间+客户收益的表述方式，例如“7天6涨停”、“大赚5.7万元”。这符合规则中的违规情形。,"-1,-1",确定违规项
4277ca1f877efdb657de4fdb4d702294,2024721713261123,wm84u4EAAA9f1x3prDdyL614WvvtBx8g,20250919225104255507,8882819653563594254_1752207076206_external,wwc6a28c1b56e3a884_single_202507,wm84u4EAAA9f1x3prDdyL614WvvtBx8g,2024721713261123,蔡哥说：我们票涨的概率更高?内部再迎一只持续破新高的票                                     ....[红包]内部股池金股【#海正药业.】低吸后，天天涨，累计涨超20%！?买入区间：9.5?今天最高：13  （#远超第三目标位）?内部蔡哥：#加入你们太值了，合作5家公司都不理想，#只有亚商能让我赚钱、我们票涨的概率高！======[加油]#这种底部低吸、有资金关注、持续上涨的龙头好票是您想要的吗？不单是股池【海正药业】，近期内部的股池【京北方、宏和科技】都是推送后持续涨停，一直破新高的。#当下行情只有做这种风口龙头票才不踏空啊！[福]今日内部股池【核心龙金股】已经出来了，跟股池【海正药业】同样的低位选股逻辑、#技术面走势也很健康、有涨停因子，您已经错过了这么多龙头好票，今天这只票您真的不要再错过了，现在办理好，马上给你好票！[玫瑰]回复【1】小资金能跟上吗？[玫瑰]回复【8】信你一次，680办一个 [礼物]【680/年】优惠最后【12小时】，对公办理：https://abctougu.cn/200609（现在就有好票给你）,突出时间与收益的对比,5,黄线,员工在描述客户案例时，明确使用了时间+客户收益的表述方式，例如“累计涨超20%”。这符合规则中的违规情形。,"-1,-1",确定违规项
4277ca1f877efdb657de4fdb4d702294,2024721713261123,wm84u4EAAA9f1x3prDdyL614WvvtBx8g,20250919225104255507,9905582147012720145_1753425098374_external,wwc6a28c1b56e3a884_single_202507,wm84u4EAAA9f1x3prDdyL614WvvtBx8g,2024721713261123,?急急急，十万火急！！！[炸弹]本周最重磅【跨周压轴金股.】来了，非常重磅，当下最热概念?代码：00****?股价：14元左右?受益主线：人形机器人+无人驾驶，周末有针对性利好公布，提前埋伏?快！快！快！2000元就可以直接跟上，提前埋伏下周热点主线、技术面有多个 涨停因子，操作性非常强，短线操作不墨迹！一定要跟上争取下周找小万报喜[加油]想抓龙头一定要果断，不要等到周一其他学员来报喜，您又后悔没跟上，就520，果断一次？?520办理跟上买票速回【8】，办好就上车[爆竹]【跨周压轴金股】火速发车通道：https://abctougu.cn/200609    (点击办理好，直接买票),一次一只票,5,黄线,员工明确强调每次推荐一只股票，例如“每次精选一只”，这符合规则中的一次推荐一只票的描述。,"-1,-1",确定违规项
4277ca1f877efdb657de4fdb4d702294,2024721713261123,wm84u4EAAA9f1x3prDdyL614WvvtBx8g,20250919225104255507,4690517574275728462_1753426150287_external,wwc6a28c1b56e3a884_single_202507,wm84u4EAAA9f1x3prDdyL614WvvtBx8g,2024721713261123,在吗？小万对天发誓[合十]                                             .......[拥抱]真的是好票，就现在，您就信小万一次！520办理好，代码+买卖区间发给您，你挂单，带你低吸进场，做的好了，您也来找小万报喜好吗！❤520/16个月办理速回小万数字：【8】，马上跟票,一次一只票,5,黄线,员工明确强调每次推荐一只股票，例如“每次精选一只”，这符合规则中的一次推荐一只票的描述。,"-1,-1",确定违规项
